"seed","K_optclust","kmeans_k","true_k","score_optclust","score_kmeans_bestk","score_kmeans_kc","score_true","ari_optclust_kmeans","ari_true_kmeans","are_true_optclust","dataname","metric","method"
2,6,8,2,0.492387101981551,0.600246829686629,0.562305918475528,0.311492975085584,0.792759200983284,0.188533603208666,-10,"Atom","silhouette","localsearch"
2,2,4,2,0.366291906782885,0.483424080823176,0.417692945678495,0.311492975085584,0.230081665162006,0.188533603208666,0.123619262971653,"Atom","silhouette","greedy"
2,2,4,2,0.136581769553415,0.0296273281529573,0.0232770299678777,0.375477264723317,-0.00358100285619579,0.188533603208666,1.25158008073118e-05,"Atom","dunnindex","localsearch"
2,2,4,2,0.0860928802926813,0.0296273281529573,0.0232770299678777,0.375477264723317,0.0258118874297126,0.188533603208666,7.5095737678586e-05,"Atom","dunnindex","greedy"
2,4,7,7,0.4553863380528,0.70192319899488,0.430725327687031,0.70192319899488,0.308058712082381,1,-10,"Hepta","silhouette","localsearch"
2,3,7,7,0.280934664138755,0.70192319899488,0.356963697737807,0.70192319899488,0.270425664687417,1,-10,"Hepta","silhouette","greedy"
2,4,7,7,0.355198478611014,1.06501003727837,0.103729682325773,1.06501003727837,0.44241624371687,1,-10,"Hepta","dunnindex","localsearch"
2,2,7,7,0.296956862142594,1.06501003727837,0.0278385987031724,1.06501003727837,-0.0669321997127964,1,-10,"Hepta","dunnindex","greedy"
2,4,5,3,0.563173229462122,0.566893408718972,0.565531990721379,0.477456412023176,0.965511562431061,0.421561236874518,-10,"Lsun","silhouette","localsearch"
2,2,5,3,0.34472221670771,0.566893408718972,0.460618039279629,0.477456412023176,0.0200286153227265,0.421561236874518,-10,"Lsun","silhouette","greedy"
2,3,4,3,0.147686466040972,0.0376771217975025,0.0299136952067527,0.147686466040972,0.421561236874518,0.421561236874518,1,"Lsun","dunnindex","localsearch"
2,2,4,3,0.0751153727723536,0.0376771217975025,0.0296429593792784,0.147686466040972,0.000988955155269116,0.421561236874518,-10,"Lsun","dunnindex","greedy"
2,2,8,6,0.629325893855415,0.586509432741697,0.421332397868108,0.295208280137911,-0.0111161715145589,0.634888047667502,-10,"Target","silhouette","localsearch"
2,2,8,6,0.628912291695284,0.586509432741697,0.421332397868108,0.295208280137911,0.0157490391384649,0.634888047667502,-10,"Target","silhouette","greedy"
2,2,7,6,0.361704117131621,0.0246743599030039,0.0109867222524296,0.253299132982746,-0.0111161715145589,0.634888047667502,-10,"Target","dunnindex","localsearch"
2,2,7,6,0.361666683471447,0.0246743599030039,0.0109867222524296,0.253299132982746,0.0157490391384649,0.634888047667502,-10,"Target","dunnindex","greedy"
2,4,4,4,0.500828580077146,0.505788928978857,0.505788928978857,0.505788928978857,0.98008594436669,1,0.98008594436669,"Tetra","silhouette","localsearch"
2,2,4,4,0.272828751344498,0.505788928978857,0.270350151516608,0.505788928978857,0.178798369724091,1,-10,"Tetra","silhouette","greedy"
2,4,4,4,0.222868324473158,0.222868324473158,0.222868324473158,0.222868324473158,1,1,1,"Tetra","dunnindex","localsearch"
2,2,4,4,0.0897534881901385,0.222868324473158,0.0356941443653636,0.222868324473158,-0.00167353287513633,1,-10,"Tetra","dunnindex","greedy"
2,2,2,2,0.630597211400013,0.630597211400013,0.630597211400013,0.630597211400013,1,1,1,"TwoDiamonds","silhouette","localsearch"
2,2,2,2,0.630597211400013,0.630597211400013,0.630597211400013,0.630597211400013,1,1,1,"TwoDiamonds","silhouette","greedy"
2,2,2,2,0.0354328223495612,0.0449999999999969,0.0449999999999969,0.0449999999999969,0,1,0,"TwoDiamonds","dunnindex","localsearch"
2,2,2,2,0.0354328223495612,0.0449999999999969,0.0449999999999969,0.0449999999999969,0,1,0,"TwoDiamonds","dunnindex","greedy"
2,2,2,2,0.338251788210133,0.460262219085272,0.460262219085272,0.448230219292962,0.207793252992048,0.85584718950503,0.145003188261511,"WingNut","silhouette","localsearch"
2,2,2,2,0.448230219292962,0.460262219085272,0.460262219085272,0.448230219292962,0.85584718950503,0.85584718950503,1,"WingNut","silhouette","greedy"
2,2,4,2,0.0832050294337843,0.0215434147718456,0.019844982375277,0.0832050294337843,0.85584718950503,0.85584718950503,1,"WingNut","dunnindex","localsearch"
2,2,4,2,0.0832050294337843,0.0215434147718456,0.019844982375277,0.0832050294337843,0.85584718950503,0.85584718950503,1,"WingNut","dunnindex","greedy"
