seed,K_optclust,kmeans_k,true_k,score_optclust,score_kmeans_bestk,score_kmeans_kc,score_true,ari_optclust_kmeans,ari_true_kmeans,are_true_optclust,dataname,metric,method
2,4,7,7,0.455071807,0.701701221,0.429659018,0.701701221,0.308058712,1,-10,Hepta,silhouette,greedy
2,4,7,7,0.455071807,0.701701221,0.429659018,0.701701221,0.308058712,1,-10,Hepta,silhouette,localsearch
2,4,4,3,0.539973554,0.567756054,0.567756054,0.43936197,0.832214292,0.421561237,-10,Lsun,silhouette,greedy
2,4,4,3,0.567264001,0.567756054,0.567756054,0.43936197,0.921111188,0.421561237,-10,Lsun,silhouette,localsearch
2,2,8,6,0.629325894,0.586509433,0.421332398,0.29520828,-0.011116172,0.634888048,-10,Target,silhouette,greedy
2,2,8,6,0.629325894,0.586509433,0.421332398,0.29520828,-0.011116172,0.634888048,-10,Target,silhouette,localsearch
2,4,4,4,0.485210763,0.503541621,0.503541621,0.503541621,0.929345769,1,0.929345769,Tetra,silhouette,greedy
2,4,4,4,0.503541621,0.503541621,0.503541621,0.503541621,1,1,1,Tetra,silhouette,localsearch
2,2,2,2,0.485918709,0.485918709,0.485918709,0.485918709,1,1,1,TwoDiamonds,silhouette,greedy
2,2,2,2,0.485918709,0.485918709,0.485918709,0.485918709,1,1,1,TwoDiamonds,silhouette,localsearch
2,5,7,2,0.470925839,0.591374683,0.524223625,0.311325057,0.78995215,0.188533603,-10,Atom,silhouette,greedy
2,8,10,2,0.520502219,0.608096801,0.600005503,0.311325057,0.836106344,0.188533603,-10,Atom,silhouette,localsearch
2,2,4,2,0.406475536,0.423269376,0.40850269,0.383884919,0.207793253,0.85584719,0.145003188,WingNut,silhouette,greedy
2,2,4,2,0.406475536,0.423269376,0.40850269,0.383884919,0.207793253,0.85584719,0.145003188,WingNut,silhouette,localsearch
2,2,7,7,0.300268959,1.076183408,0.028271345,1.076183408,-0.0669322,1,-10,Hepta,dunnindex,greedy
2,4,7,7,0.357475223,1.076183408,0.104346362,1.076183408,0.442416244,1,-10,Hepta,dunnindex,localsearch
2,3,3,3,0.117052396,0.035334064,0.035334064,0.117052396,0.421561237,0.421561237,1,Lsun,dunnindex,greedy
2,3,3,3,0.117052396,0.035334064,0.035334064,0.117052396,0.421561237,0.421561237,1,Lsun,dunnindex,localsearch
2,2,7,6,0.361704117,0.02467436,0.010986722,0.253299133,-0.011116172,0.634888048,-10,Target,dunnindex,greedy
2,2,7,6,0.361704117,0.02467436,0.010986722,0.253299133,-0.011116172,0.634888048,-10,Target,dunnindex,localsearch
2,4,4,4,0.199662206,0.199662206,0.199662206,0.199662206,1,1,1,Tetra,dunnindex,greedy
2,4,4,4,0.199662206,0.199662206,0.199662206,0.199662206,1,1,1,Tetra,dunnindex,localsearch
2,2,2,2,0.043543956,0.02200489,0.02200489,0.02200489,0,1,0,TwoDiamonds,dunnindex,greedy
2,2,2,2,0.043543956,0.02200489,0.02200489,0.02200489,0,1,0,TwoDiamonds,dunnindex,localsearch
2,2,4,2,0.136872731,0.029254823,0.022964225,0.371070999,-0.003581003,0.188533603,1.25E-05,Atom,dunnindex,greedy
2,2,4,2,0.136872731,0.029254823,0.022964225,0.371070999,-0.003581003,0.188533603,1.25E-05,Atom,dunnindex,localsearch
2,2,4,2,0.063259612,0.023744858,0.019132305,0.063259612,0.85584719,0.85584719,1,WingNut,dunnindex,greedy
2,2,4,2,0.063259612,0.023744858,0.019132305,0.063259612,0.85584719,0.85584719,1,WingNut,dunnindex,localsearch
2,4,7,7,0.539672505,1.562049936,0.523815933,1.562049936,0.308058712,1,-10,Hepta,robustdunn,greedy
2,4,7,7,0.540130716,1.562049936,0.523815933,1.562049936,0.711131307,1,-10,Hepta,robustdunn,localsearch
2,6,8,3,0.639088657,0.735261309,0.677484685,0.404103133,0.766747907,0.421561237,-10,Lsun,robustdunn,greedy
2,8,8,3,0.727267483,0.735261309,0.735261309,0.404103133,0.782962326,0.421561237,-10,Lsun,robustdunn,localsearch
2,5,8,6,0.816368028,1.153225917,0.798804719,0.365080377,0.01876952,0.634888048,-10,Target,robustdunn,greedy
2,5,8,6,0.816368028,1.153225917,0.798804719,0.365080377,0.01876952,0.634888048,-10,Target,robustdunn,localsearch
2,4,4,4,0.797004246,0.812033488,0.812033488,0.812033488,0.980085944,1,0.980085944,Tetra,robustdunn,greedy
2,4,4,4,0.812033488,0.812033488,0.812033488,0.812033488,1,1,1,Tetra,robustdunn,localsearch
2,5,2,2,0.512863338,0.512422382,0.477704689,0.512422382,0.383450106,1,-10,TwoDiamonds,robustdunn,greedy
2,8,8,2,0.568036834,0.571819825,0.571819825,0.512422382,0.415075762,1,-10,TwoDiamonds,robustdunn,localsearch
2,7,9,2,0.723394314,1.252972705,1.047985221,0.470722199,0.796095802,0.188533603,-10,Atom,robustdunn,greedy
2,4,4,2,0.491817454,0.526563061,0.526563061,0.337238217,0.665368006,0.85584719,-10,WingNut,robustdunn,greedy
